global_id,ID,название,IsNetObject,OperatingCompany,TypeObject,округ,район,адрес,телефон,SeatsCount,SocialPrivileges,Longitude_WGS84,Latitude_WGS84,geoData
637532334,000069380,Eхtra Virgin,нет,,ресторан,Центральный,Тверской,"город Москва, улица Малая Дмитровка, дом 5/9",(495) 916-36-08,80,нет,37.6055885886097000,55.7677930838412000,"{type=Point, coordinates=[37.6055885886097, 55.7677930838412]}"
637532352,000027198,Сэлэнгэ,нет,,ресторан,Центральный,Тверской,"город Москва, улица Малая Дмитровка, дом 23/15, строение 1",(495) 650-30-27,60,нет,37.6047791210449000,55.7703379204818000,"{type=Point, coordinates=[37.6047791210449, 55.7703379204818]}"
637532354,00154670,CROSS KEYS PAB,нет,,ресторан,Центральный,Тверской,"город Москва, улица Малая Дмитровка, дом 3",(495) 636-29-55,160,нет,37.6059210000000000,55.7670280000000000,"{type=Point, coordinates=[37.605921, 55.767028]}"
637532355,000027318,Рыбный Базар,нет,,ресторан,Центральный,Тверской,"город Москва, Трёхпрудный переулок, дом 10/2, строение 2",(495) 650-54-44,130,нет,37.5974576392925000,55.7653621504589000,"{type=Point, coordinates=[37.5974576392925, 55.7653621504589]}"
637532360,00148810,Мясо и рыба,нет,,ресторан,Центральный,Тверской,"город Москва, Тверская улица, дом 23, строение 1",(495) 609-09-08,120,нет,37.6006763323983010,55.7668316563339840,"{type=Point, coordinates=[37.6006763323983, 55.766831656333984]}"
637532367,000026778,Иль-патио,да,Иль-патио,ресторан,Центральный,Тверской,"город Москва, 1-я Тверская-Ямская улица, дом 2, строение 1",(499) 251-49-76,149,нет,37.5965449551381000,55.7706352070318000,"{type=Point, coordinates=[37.5965449551381, 55.7706352070318]}"
637532387,00149412,KFC,да,KFC,ресторан,Центральный,Тверской,"город Москва, улица Большая Дмитровка, дом 5/6, строение 3",(495) 785-14-00,98,нет,37.6140661814346870,55.7599005470080660,"{type=Point, coordinates=[37.61406618143469, 55.759900547008066]}"
637532390,000025877,Две палочки,да,ДВЕ ПАЛОЧКИ,ресторан,Центральный,Тверской,"город Москва, улица Большая Дмитровка, дом 5/6, строение 3",(926) 343-06-40,144,нет,37.6135440198922000,55.7598173940887000,"{type=Point, coordinates=[37.6135440198922, 55.7598173940887]}"
637532400,000074406,Мама Гочи,нет,,ресторан,Центральный,Тверской,"город Москва, улица Большая Дмитровка, дом 5/6, строение 1",(495) 226-23-23,50,нет,37.6152655740736000,55.7603811641466000,"{type=Point, coordinates=[37.6152655740736, 55.7603811641466]}"
637532401,00151221,Белуга,нет,,ресторан,Центральный,Тверской,"город Москва, Моховая улица, дом 15/1, строение 1",(495) 901-03-36,80,нет,37.6136510754421710,55.7567744285501730,"{type=Point, coordinates=[37.61365107544217, 55.75677442855017]}"
637532403,00109775,Доктор Живаго,нет,,ресторан,Центральный,Тверской,"город Москва, Моховая улица, дом 15/1, строение 1",(499) 922-01-00,90,нет,37.6134132324214220,55.7567020751887630,"{type=Point, coordinates=[37.61341323242142, 55.75670207518876]}"
637532427,00136543,Лермонтов,нет,,ресторан,Центральный,Тверской,"город Москва, Настасьинский переулок, дом 5, строение 1",(495) 111-21-00,90,нет,37.6045384210679640,55.7674030765404610,"{type=Point, coordinates=[37.604538421067964, 55.76740307654046]}"
